price,ret_1d,adv_rm,zscore_5d,realized_vol,above_ma50,momentum_6m,momentum_1m,momentum_2w,momentum_1w,name,tv_symbol,sector
5.65,0.008928571428571619,2213871.2,0.6182575435388353,0.15889753251856076,False,0.057657657657657735,-0.03747870528109021,-0.012237762237762184,0.007130124777183555,AEON Credit Service (M) Bhd.,AEONCR,Finance
1.2,0.008403361344537785,8904222.6,-0.12635489492524127,0.5010414789600374,True,0.35897435897435903,0.13207547169811318,0.034482758620689724,0.025641025641025772,Guan Chong Bhd.,GCB,Consumer Non-Durables
0.59,-0.008403361344537785,4511423.675,-0.3872951454102609,1.9069227789331327,False,0.7777777777777779,-0.07812500000000011,0.008547008547008517,-0.032786885245901676,Oppstar Berhad,OPPSTAR,Electronic Technology
2.2,-0.013452914798206206,33670636.55,-0.10135591150753703,0.5201763875960699,True,0.2295081967213115,-0.022222222222222143,0.00917431192660545,0.01382488479262678,Inari Amertron Berhad,INARI,Electronic Technology
2.89,0.01403508771929829,1488940.05,-0.3546843603333754,0.35688157117905206,True,0.07299270072992692,-0.017006802721088343,-0.023648648648648574,-0.0068728522336769515,Spritzer Bhd.,SPRITZER,Consumer Non-Durables
2.09,0.0,7102350.0,0.15717410815382685,0.43136971249038325,True,0.17449664429530198,0.19428571428571417,0.05025125628140703,0.009661835748792313,Hibiscus Petroleum Bhd.,HIBISCS,Energy Minerals
0.77,0.006535947712418277,1248469.225,0.22000463033980228,0.25129171568998304,True,0.09558823529411753,0.033557046979865834,-0.012820512820512886,0.006535947712418277,Leong Hup International Bhd.,LHI,Process Industries
5.82,0.006920415224913601,2051870.2,0.15957859959723686,0.24745957905398974,True,0.24220623501199046,0.12355212355212375,0.019264448336252293,0.012173913043478368,Ta Ann Holdings Bhd.,TAANN,Non-Energy Minerals
1.06,-0.009345794392523366,1514847.75,0.29529980789663063,0.24578262879197446,False,-0.02777777777777779,0.00952380952380949,-0.01851851851851849,0.0,AEON Co. (Malaysia) Bhd.,AEON,Retail Trade
0.26,-0.03703703703703709,37632437.425,-0.5660362012187351,2.118791110966059,False,-0.885593220338983,0.9259259259259258,0.33333333333333326,-0.22388059701492535,Tanco Holdings Bhd.,TANCO,Finance
0.69,-0.007194244604316502,5407925.95,-0.010956845157736312,0.5177303522306148,True,0.5294117647058825,0.06153846153846132,-0.034965034965035,0.014705882352941124,CBH Engineering Holding Berhad,CBHB,Utilities
4.43,-0.006726457399103158,13567131.0,-1.2895429658489546,0.19377436447860705,True,0.046798029556650356,0.04235294117647048,-0.0177383592017738,-0.0327510917030569,IOI Corporation Berhad,IOICORP,Process Industries
0.865,0.02366863905325456,1071119.475,4.35438512887667,0.08704024229916565,True,-0.061797752808988804,0.03592814371257491,0.029761904761904878,0.029761904761904878,KIP Real Estate Investment Trust,KIPREIT,Finance
0.515,-0.01904761904761909,3712619.85,0.34392466506152747,0.4701769465161853,True,0.0,-0.01904761904761909,0.07291666666666674,0.030000000000000027,SNS Network Technology Bhd.,SNS,Technology Services
0.94,0.05027932960893855,1548668.3,3.987583193173575,0.3180331093930631,True,0.12686567164179108,0.24503311258278138,0.16049382716049365,0.17499999999999982,WTK Holdings Bhd.,WTK,Non-Energy Minerals
1.09,-0.018018018018018056,3625245.025,0.1290345275702202,0.6024226023160154,True,0.8888888888888888,0.06862745098039214,0.1534391534391535,0.03809523809523818,Coraza Integrated Technology Bhd,CORAZA,Producer Manufacturing
0.225,-0.021739130434782594,1252735.55,-0.400909405314196,0.6572847494112614,False,-0.19718309859154937,-0.21052631578947356,0.0,-0.04255319148936165,Malton Bhd.,MALTON,Finance
0.975,-0.015151515151515138,5942606.275,-0.24162619307276648,0.43978894832737064,False,0.040000000000000036,-0.0625,-0.015151515151515138,-0.025000000000000022,Hartalega Holdings Bhd.,HARTA,Producer Manufacturing
19.32,-0.0010341261633919352,7634950.8,-0.0959275928748581,0.30080611392244,True,-0.045643153526971125,0.050000000000000044,-0.012269938650306678,-0.007194244604316613,Petronas Dagangan Bhd.,PETDAG,Distribution Services
5.11,-0.011605415860734936,124520782.7,-1.328556658182052,0.18782730649070017,True,0.07126948775055664,0.062370062370062485,0.04498977505112478,-0.026666666666666616,Public Bank Bhd,PBBANK,Finance
