price,ret_1d,adv_rm,zscore_5d,realized_vol,above_ma50,momentum_6m,momentum_1m,momentum_2w,momentum_1w,name,tv_symbol,sector
1.09,-0.018018018018018056,2476989.225,-0.7423044136085885,0.6230703269525673,True,,0.289940828402367,0.11794871794871797,-0.0267857142857143,Ambest Group Berhad,AMBEST,Producer Manufacturing
0.495,-0.01980198019801982,1594835.425,-0.055784191334066986,0.44054613556192296,True,-0.3971631205673759,0.16470588235294126,0.09999999999999987,-0.010000000000000009,Cloudpoint Technology Bhd,CLOUDPT,Technology Services
5.74,0.005253940455341555,1433924.8,0.8611058856554589,0.1537023922764178,True,-0.03931623931623929,0.021352313167259718,0.019538188277087087,0.014134275618374659,AEON Credit Service (M) Bhd.,AEONCR,Finance
0.77,-0.060975609756097504,1615172.875,0.2168290551223559,0.7297375014224414,True,-0.3373493975903613,0.3999999999999999,0.4128440366972477,0.04761904761904767,Theta Edge Bhd.,THETA,Technology Services
1.24,-0.023622047244094557,5646478.7,-0.8159148444883357,0.5198572575231543,True,0.5324675324675323,0.05084745762711873,-0.03125,-0.008000000000000007,Guan Chong Bhd.,GCB,Consumer Non-Durables
0.7,-0.06666666666666676,7247232.225,0.5745641243293879,0.6110398371763934,True,0.9838709677419355,0.1382113821138211,0.19658119658119655,0.06060606060606055,Oppstar Berhad,OPPSTAR,Electronic Technology
2.37,-0.02066115702479332,46866751.9,-0.9784767343686986,0.48181339104951126,True,0.22580645161290303,0.03947368421052655,0.07239819004524883,-0.051999999999999935,Inari Amertron Berhad,INARI,Electronic Technology
3.07,0.0032679738562091387,1851107.5,-0.35115260151891947,0.35489642614936473,True,0.07407407407407396,0.05862068965517242,0.026755852842809347,0.0032679738562091387,Spritzer Bhd.,SPRITZER,Consumer Non-Durables
2.07,0.009756097560975618,6688952.4,0.16544251301901472,0.43645238322043683,True,0.31847133757961776,0.0,0.050761421319796884,0.009756097560975618,Hibiscus Petroleum Bhd.,HIBISCS,Energy Minerals
0.795,-0.006249999999999978,1581546.875,1.1065752181619242,0.1774069507476941,True,0.0,0.03921568627450989,0.02580645161290329,0.02580645161290329,Leong Hup International Bhd.,LHI,Process Industries
5.98,0.0016750418760469454,2060015.8,0.046495156465041265,0.22607221996972654,True,0.3664302600472813,0.03460207612456756,0.027491408934708028,0.006734006734006703,Ta Ann Holdings Bhd.,TAANN,Non-Energy Minerals
0.99,-0.02941176470588236,1715072.75,-0.7663305316260672,0.2237128438345815,False,-0.044247787610619316,-0.08333333333333337,-0.03883495145631066,-0.02941176470588236,AEON Co. (Malaysia) Bhd.,AEON,Retail Trade
0.72,-0.013698630136986356,2524137.35,1.0470555744891703,0.5057501163389962,True,,0.1428571428571428,0.13385826771653542,0.09090909090909083,ISF Group Berhad,ISF,Distribution Services
0.245,0.0,12305751.85,0.11194377600337564,2.134345296395676,True,-0.7520325203252033,-0.19672131147540983,-0.05769230769230771,0.0,Tanco Holdings Bhd.,TANCO,Finance
0.74,-0.006711409395973145,4634943.65,-0.16756153526429468,0.4758251230204529,True,0.1382113821138211,0.05714285714285716,0.06474820143884896,0.013698630136986356,CBH Engineering Holding Berhad,CBHB,Utilities
4.53,0.006666666666666821,21375699.85,-0.08764600931998362,0.20168523813346662,True,0.14179104477611948,-0.013071895424836555,0.02257336343115135,0.006666666666666821,IOI Corporation Berhad,IOICORP,Process Industries
0.375,0.0,1250981.425,0.179067892263032,0.4078217395369763,True,-0.36190476190476184,0.11940298507462677,0.11940298507462677,0.013513513513513598,Edelteq Holdings Bhd,EDELTEQ,Electronic Technology
0.3,-0.016393442622950838,1325258.9,2.1186853517955386,0.75032207494869,True,0.08510638297872353,0.17647058823529416,0.3043478260869563,0.25,TT Vision Holdings Bhd.,TTVHB,Electronic Technology
0.855,0.0,1109942.35,0.4254126700944043,0.09836636329472959,True,-0.07182320441988954,0.017857142857142794,-0.02285714285714291,0.00588235294117645,KIP Real Estate Investment Trust,KIPREIT,Finance
0.565,-0.00877192982456143,11031629.225,-0.0630815253293707,0.4514982946117038,True,-0.15966386554621848,0.1299999999999999,0.018018018018017834,0.008928571428571175,SNS Network Technology Bhd.,SNS,Technology Services
1.05,-0.009433962264150941,2488947.225,1.1776463751124342,0.3606233676980273,True,0.09523809523809534,0.30434782608695654,0.16022099447513805,0.08808290155440424,WTK Holdings Bhd.,WTK,Non-Energy Minerals
1.18,0.0,3998688.85,0.15493801283710765,0.547896107354604,True,0.6461538461538463,0.10280373831775691,0.01724137931034475,0.03508771929824572,Coraza Integrated Technology Bhd,CORAZA,Producer Manufacturing
0.98,0.0,8939568.675,-0.5515245553262218,0.4117111106682647,False,0.0,-0.03921568627450989,-0.07547169811320764,-0.04854368932038844,Hartalega Holdings Bhd.,HARTA,Producer Manufacturing
19.36,-0.005138746145940454,6671998.1,0.48867606109733064,0.24618009647577607,True,-0.025768087215064406,-0.015259409969481164,-0.017258883248730927,0.0189473684210526,Petronas Dagangan Bhd.,PETDAG,Distribution Services
1.14,0.0,2736167.275,1.050700634420605,0.4480363395962745,True,-0.4565217391304347,0.5199999999999998,0.19371727748691092,0.10679611650485432,KJTS Group Berhad,KJTS,Commercial Services
5.11,0.0019607843137257053,114629932.75,-0.8620749760470533,0.1686538165683822,True,0.13318777292576423,-0.015414258188824692,-0.032196969696969724,-0.015414258188824692,Public Bank Bhd,PBBANK,Finance
48.02,0.021702127659574577,12357265.6,-0.18557268952859152,0.417835071287079,True,0.34114114114114114,0.07523510971786851,0.027825342465753522,-0.0016632016632016633,Malaysian Pacific Industries Bhd.,MPI,Electronic Technology
0.39,0.026315789473684292,2817718.875,2.475113111170263,0.18204892648416618,True,0.16129032258064502,0.08333333333333348,0.05405405405405417,0.05405405405405417,JAG Berhad,JAG,Industrial Services
8.09,0.0012376237623761277,15697889.9,0.20417033410025204,0.16431753730096504,True,0.02051282051282044,0.01633165829145722,-0.014616321559074441,0.0024783147459725985,MISC Bhd,MISC,Transportation
3.74,-0.002666666666666595,7973036.65,0.7201872183741076,0.3197623911532658,True,-0.07692307692307687,0.03888888888888897,0.013550135501354976,0.027472527472527597,Maxis Bhd.,MAXIS,Communications
0.795,-0.024539877300613355,2504977.6,1.0646084921480525,0.4318896590286093,True,-0.14857142857142858,0.06711409395973167,0.1118881118881121,0.07432432432432434,Aurelius Technologies Bhd.,ATECH,Electronic Technology
2.3,0.05022831050228316,1505345.65,0.7122737823845267,0.4977206395384783,True,0.24489795918367352,0.256830601092896,0.12195121951219523,0.05990783410138234,Scicom (MSC) Bhd.,SCICOM,Commercial Services
3.02,-0.0033003300330032292,17193678.75,-0.5272137589907195,0.1957507544970337,False,0.1777777777777778,-0.05031446540880502,-0.03514376996805113,-0.019480519480519543,KPJ Healthcare Bhd.,KPJ,Health Services
2.67,-0.025547445255474588,3162009.8,-1.084966522978685,0.24183015757062912,True,-0.11397058823529416,0.10788381742738573,0.0348837209302324,-0.011111111111111183,Kerjaya Prospek Group Berhad,KERJAYA,Industrial Services
4.67,0.030905077262693093,24564728.2,0.8704789418567976,0.6088210066949797,True,0.4512195121951219,-0.018907563025210017,0.004301075268817067,0.051801801801801606,PETRONAS Chemicals Group Bhd.,PCHEM,Process Industries
2.23,0.0,6013454.0,0.20396439493541266,0.40383995672071776,False,-0.15658362989323837,-0.05907172995780596,0.0045045045045044585,0.0045045045045044585,Farm Fresh Bhd.,FFB,Consumer Non-Durables
