price,ret_1d,adv_rm,zscore_5d,realized_vol,above_ma50,momentum_6m,momentum_1m,momentum_2w,momentum_1w,name,tv_symbol,sector
5.63,0.0035650623885916666,2016930.15,0.5229921154920965,0.15293002787816315,False,-0.007104795737122527,0.007155635062611854,0.001779359430605032,0.005357142857142838,AEON Credit Service (M) Bhd.,AEONCR,Finance
1.28,0.049180327868852514,7835245.05,0.6807883102156751,0.5058932359128562,True,0.4620689655172414,0.2075471698113207,0.05785123966942152,0.06666666666666665,Guan Chong Bhd.,GCB,Consumer Non-Durables
0.585,0.026315789473684292,3493134.775,0.0001159307488680385,1.8618638702927646,False,1.4038461538461537,-0.06400000000000006,-0.06400000000000006,0.08333333333333326,Oppstar Berhad,OPPSTAR,Electronic Technology
2.21,0.009132420091324311,31361196.05,0.12610843812143296,0.44445747019527904,False,0.2191011235955056,0.018433179723502224,-0.03913043478260869,0.018433179723502224,Inari Amertron Berhad,INARI,Electronic Technology
2.99,-0.0033333333333332993,1580172.25,0.5743326076221438,0.35829692667641894,True,0.07806691449814118,0.031034482758620863,0.03460207612456756,0.03460207612456756,Spritzer Bhd.,SPRITZER,Consumer Non-Durables
1.97,0.0,7850588.25,0.3738064751121876,0.44310243862148113,False,0.2012987012987013,0.06486486486486487,-0.03902439024390236,0.015463917525773141,Hibiscus Petroleum Bhd.,HIBISCS,Energy Minerals
0.775,-0.0064102564102563875,1260245.25,0.10688635770036295,0.24086816428878946,True,0.08333333333333348,-0.0064102564102563875,0.006493506493506551,0.006493506493506551,Leong Hup International Bhd.,LHI,Process Industries
5.82,0.001721170395869276,2611710.5,-0.17578498718916286,0.23452365760409147,True,0.2846889952153111,0.08379888268156432,0.0034482758620690834,0.0,Ta Ann Holdings Bhd.,TAANN,Non-Energy Minerals
1.03,-0.009615384615384581,1318186.1,-1.2139424804919032,0.2295164849269977,False,-0.02752293577981657,-0.028301886792452824,-0.04629629629629628,-0.03738317757009346,AEON Co. (Malaysia) Bhd.,AEON,Retail Trade
0.26,-0.03703703703703709,38129358.525,0.0903525145178886,2.1309142345416867,False,-0.8333333333333334,0.4054054054054055,-0.17460317460317454,0.0,Tanco Holdings Bhd.,TANCO,Finance
0.695,0.014598540145985162,4631411.55,0.5279293006382647,0.5105545580166306,True,0.5384615384615383,-0.0071428571428571175,-0.027972027972028024,0.045112781954887105,CBH Engineering Holding Berhad,CBHB,Utilities
4.43,0.009111617312072884,15262390.0,0.3925330163248761,0.19692980773201751,True,0.059259259259259345,0.03263403263403264,-0.015555555555555656,0.013729977116704761,IOI Corporation Berhad,IOICORP,Process Industries
0.875,0.0,1117004.3,-0.12086249772711224,0.0884283349988941,True,-0.05586592178770955,0.035502958579881616,0.04166666666666674,0.0,KIP Real Estate Investment Trust,KIPREIT,Finance
0.555,0.009090909090909038,7398651.425,0.2216643946237775,0.49902021003219565,True,-0.0660377358490567,0.12121212121212133,0.07766990291262132,0.0277777777777779,SNS Network Technology Bhd.,SNS,Technology Services
0.905,0.016853932584269593,1900587.125,-0.3156428861348346,0.32906870859007287,True,0.1470588235294117,0.16025641025641035,0.09696969696969715,0.005555555555555536,WTK Holdings Bhd.,WTK,Non-Energy Minerals
1.16,0.01754385964912286,4161311.7,1.0591946645855177,0.5681802054884619,True,0.6842105263157896,0.20833333333333326,0.06422018348623837,0.09433962264150941,Coraza Integrated Technology Bhd,CORAZA,Producer Manufacturing
1.06,0.06000000000000005,5938275.425,1.2823187629571353,0.45000780845730204,False,-0.010000000000000009,0.07070707070707072,0.06000000000000005,0.08163265306122458,Hartalega Holdings Bhd.,HARTA,Producer Manufacturing
19.7,0.01337448559670773,7196457.4,0.6261963561772417,0.30090606222370586,True,-0.004077471967380286,0.008188331627430934,0.01025641025641022,0.02604166666666674,Petronas Dagangan Bhd.,PETDAG,Distribution Services
0.955,-0.00520833333333337,1583039.625,1.1945775199687079,0.4273316399893865,True,-0.5202702702702703,0.34507042253521125,0.23225806451612896,0.09142857142857141,KJTS Group Berhad,KJTS,Commercial Services
5.28,0.01538461538461533,153717577.75,0.3871585932165382,0.18045709020683492,True,0.08628318584070804,0.07535641547861505,0.01538461538461533,0.01734104046242768,Public Bank Bhd,PBBANK,Finance
46.72,0.015210777922642249,14142949.6,0.7980454345833979,0.4260431396598038,False,0.41332510795805044,0.01964207769532944,-0.00256191289496166,0.06181818181818177,Malaysian Pacific Industries Bhd.,MPI,Electronic Technology
0.37,0.013698630136986356,2696268.45,2.5362722558810806,0.16742580292712542,True,0.19999999999999996,0.0277777777777779,0.0277777777777779,0.04225352112676051,JAG Berhad,JAG,Industrial Services
8.21,0.014833127317676276,12256493.7,0.9395881978787808,0.18006458577107556,True,0.020779220779220786,0.04452926208651409,0.024968789013732895,0.014833127317676276,MISC Bhd,MISC,Transportation
3.69,0.008196721311475308,8251888.35,0.9081067505526322,0.31804615968584404,True,-0.10389610389610382,0.06956521739130417,0.030726256983240274,0.03361344537815136,Maxis Bhd.,MAXIS,Communications
2.05,0.04060913705583746,1054640.0,1.152872759285213,0.4802523367365911,True,0.28148148148148144,0.18497109826589586,0.13888888888888884,0.07894736842105265,Scicom (MSC) Bhd.,SCICOM,Commercial Services
3.13,0.019543973941368087,12245293.05,-0.019187789975439795,0.21031517698000984,False,0.19475655430711614,-0.018808777429467072,-0.012618296529968487,-0.006349206349206327,KPJ Healthcare Bhd.,KPJ,Health Services
2.58,0.011764705882353121,2168806.55,0.38874230874293797,0.2565874141267646,True,-0.08614232209737827,0.05737704918032782,0.08860759493670889,0.023809523809523725,Kerjaya Prospek Group Berhad,KERJAYA,Industrial Services
4.65,0.008676789587852562,28611057.4,0.264751367113209,0.6326544037641357,False,0.17663043478260865,0.07390300230946889,-0.0021459227467810482,0.006493506493506551,PETRONAS Chemicals Group Bhd.,PCHEM,Process Industries
2.22,-0.013333333333333197,3954440.2,-0.24253010946846826,0.4004580056843217,False,-0.206896551724138,-0.03478260869565197,-0.05531914893617018,-0.017699115044247593,Farm Fresh Bhd.,FFB,Consumer Non-Durables
0.35,-0.02777777777777779,6108154.575,-0.2990033416516111,0.8682782106380756,True,1.0,0.2068965517241379,0.02941176470588225,0.04477611940298498,SFP Tech Holdings Bhd,SFPTECH,Industrial Services
2.16,-0.02262443438914019,11180311.0,-1.2426660001451486,0.21436912623113635,False,-0.017621145374449365,-0.03139013452914796,-0.039999999999999925,-0.044247787610619316,Sunway Real Estate Investment Trust,SUNREIT,Finance
0.745,0.006756756756756799,2611582.775,0.5051716980680336,0.11351072319509443,True,0.2589285714285712,0.05673758865248235,0.02758620689655178,0.013605442176870763,Solar District Cooling Group Bhd.,SDCG,Industrial Services
0.235,-0.04081632653061229,1494414.75,-0.755267746255394,0.5044387229031412,True,0.1470588235294117,0.20512820512820507,0.17499999999999982,-0.02083333333333337,ICT Zone Asia Bhd.,ICTZONE,Technology Services
18.66,0.0075593952483801186,1597515.7,0.857295268407867,0.12366069120213737,True,-0.015806111696522684,-0.0010706638115631772,0.01193058568329719,0.00864864864864856,Hong Leong Financial Group Bhd.,HLFG,Finance
0.6,-0.008264462809917328,6678141.9,0.8255866810086938,0.4194686127062978,True,0.18018018018018012,-0.08396946564885499,-0.040000000000000036,0.034482758620689724,UEM Sunrise Bhd.,UEMS,Finance
0.175,0.02941176470588225,2787176.775,1.1763416629903571,0.4269288209668094,True,0.18518518518518512,0.09375,0.06060606060606055,0.06060606060606055,Land & General Bhd.,L&G,Finance
1.6,0.012658227848101333,5038188.3,0.6880714458536769,0.31437484670773685,False,0.0,-0.030303030303030165,-0.0643274853801169,0.0062893081761006275,Dayang Enterprise Holdings Bhd.,DAYANG,Industrial Services
0.55,0.0185185185185186,1355572.7,0.7145415734493515,0.4920640683175834,True,-0.0818181818181819,0.08910891089108919,0.00917431192660545,0.06796116504854366,UUE Holdings Berhad,UUE,Industrial Services
17.38,-0.004581901489118079,6291202.9,-0.6459257529571159,0.154272728430018,False,-0.04266958424507661,-0.006857142857142895,-0.0011494252873562871,-0.013620885357548351,Petronas Gas Bhd.,PETGAS,Utilities
0.935,0.0,2713465.65,0.8925206474408762,0.36031020041173606,False,0.22727272727272707,-0.01058201058201047,0.021857923497267784,0.03888888888888897,S P Setia Bhd.,SPSETIA,Finance
3.14,-0.009463722397476282,2532892.35,0.2576280181562081,0.17888098447164189,False,0.0512820512820511,-0.04268292682926822,-0.01567398119122254,0.0,Syarikat Takaful Malaysia Keluarga Bhd.,TAKAFUL,Finance
8.0,0.032258064516129004,18349011.3,1.1140776010142543,0.24911999394238055,True,0.301056338028169,0.08254397834912042,0.04849279161205766,0.04986876640419946,Sunway Construction Group Bhd.,SUNCON,Industrial Services
