price,ret_1d,adv_rm,zscore_5d,realized_vol,above_ma50,momentum_6m,momentum_1m,momentum_2w,momentum_1w,name,tv_symbol,sector
0.5,0.010101010101010166,1404396.95,1.976084567315784,0.4501050768555781,True,-0.3823529411764707,0.19047619047619047,0.16279069767441867,0.11111111111111116,Cloudpoint Technology Bhd,CLOUDPT,Technology Services
5.66,-0.010489510489510412,1826439.4,0.42516378090474116,0.15356787891207932,False,0.0017452006980802626,-0.013937282229965153,0.010714285714285898,0.005328596802842034,AEON Credit Service (M) Bhd.,AEONCR,Finance
1.25,0.016260162601626105,6948452.5,-1.1780752859052432,0.5162390494409812,True,0.5586206896551724,0.10619469026548689,0.04166666666666674,-0.0234375,Guan Chong Bhd.,GCB,Consumer Non-Durables
0.66,-0.022222222222222254,4449302.075,0.4420007697106072,0.8547684591728094,True,0.8412698412698412,0.13793103448275867,0.2222222222222221,0.12820512820512842,Oppstar Berhad,OPPSTAR,Electronic Technology
2.5,-0.007936507936507908,48739780.85,1.4208295756946403,0.481060059903539,True,0.24137931034482762,0.15740740740740744,0.15207373271889413,0.13122171945701355,Inari Amertron Berhad,INARI,Electronic Technology
3.06,0.00990099009900991,1598771.45,0.26601805903620085,0.355141473064443,True,0.09398496240601495,0.05154639175257736,0.05882352941176472,0.02341137123745818,Spritzer Bhd.,SPRITZER,Consumer Non-Durables
2.05,0.01990049751243772,7524888.05,0.7513160628308677,0.43892129821466686,True,0.3377483443708609,0.014851485148514865,0.05670103092783507,0.04060913705583746,Hibiscus Petroleum Bhd.,HIBISCS,Energy Minerals
0.775,0.0,1362094.35,-0.22494200321395874,0.23159708301679893,True,0.03333333333333344,0.0,0.006493506493506551,0.0,Leong Hup International Bhd.,LHI,Process Industries
5.94,0.013651877133105783,2320292.25,0.41217009466692106,0.23789774015759696,True,0.3708133971291867,0.03664921465968596,0.020618556701030855,0.020618556701030855,Ta Ann Holdings Bhd.,TAANN,Non-Energy Minerals
1.02,-0.009708737864077666,1465280.8,0.0332602147207008,0.2251646399927382,False,0.0,-0.05555555555555558,-0.04672897196261683,-0.009708737864077666,AEON Co. (Malaysia) Bhd.,AEON,Retail Trade
0.66,0.03125,2546647.5,0.37627319268150455,0.5164736623342849,True,,0.18918918918918903,0.08196721311475419,0.03937007874015741,ISF Group Berhad,ISF,Distribution Services
0.245,-0.020000000000000018,28643223.4,-0.055803774385188916,2.128100781509698,False,-0.7966101694915254,0.02083333333333326,-0.05769230769230771,-0.05769230769230771,Tanco Holdings Bhd.,TANCO,Finance
0.73,0.020979020979021046,4049059.125,0.5425232981454833,0.5012496103533939,True,0.40816326530612246,0.05797101449275366,0.09774436090225547,0.05035971223021596,CBH Engineering Holding Berhad,CBHB,Utilities
4.5,-0.015317286652078876,18241480.6,0.36870295001827125,0.20570784895540056,True,0.1499999999999999,-0.021739130434782483,0.029748283752860427,0.015801354401805856,IOI Corporation Berhad,IOICORP,Process Industries
0.85,0.0,1177348.975,-2.013908505016912,0.09908097844289765,True,-0.0722222222222223,0.017964071856287456,-0.02857142857142858,-0.02857142857142858,KIP Real Estate Investment Trust,KIPREIT,Finance
0.56,-0.01754385964912264,9541602.75,-0.03825624368112509,0.47577991358303345,True,-0.06862745098039225,0.17894736842105274,0.03703703703703698,0.009009009009008917,SNS Network Technology Bhd.,SNS,Technology Services
0.965,0.06043956043956045,1876178.3,1.0862693281716513,0.3495530665108709,True,0.17021276595744683,0.16969696969696968,0.07222222222222219,0.0662983425414363,WTK Holdings Bhd.,WTK,Non-Energy Minerals
1.14,-0.008695652173913104,4290384.35,-0.693114414179424,0.5547203227437724,True,0.7685185185185184,0.19371727748691092,0.07547169811320731,-0.017241379310344862,Coraza Integrated Technology Bhd,CORAZA,Producer Manufacturing
1.03,0.04040404040404044,7381863.475,-0.16726782690699896,0.42232317026344196,False,0.015306122448979664,0.035175879396984966,0.05102040816326525,-0.028301886792452824,Hartalega Holdings Bhd.,HARTA,Producer Manufacturing
19.0,-0.0175801447776629,7144204.3,-0.6858397883488607,0.28258085938790567,False,-0.04187437686939177,-0.01144640998959412,-0.01041666666666663,-0.035532994923857864,Petronas Dagangan Bhd.,PETDAG,Distribution Services
1.03,0.009803921568627416,2002193.575,0.8408364180196408,0.4446957833997792,True,-0.5034722222222222,0.44055944055944063,0.17714285714285727,0.0785340314136127,KJTS Group Berhad,KJTS,Commercial Services
5.19,0.0019305019305020377,145028179.1,-0.9555315182708584,0.17658981129100065,True,0.09576837416481054,0.054878048780487854,0.0,-0.017045454545454475,Public Bank Bhd,PBBANK,Finance
48.1,0.002501042100875539,13604890.0,0.3186320046672033,0.41784156923123617,True,0.4198717948717947,0.08577878103837477,0.09318181818181825,0.02953767123287676,Malaysian Pacific Industries Bhd.,MPI,Electronic Technology
0.37,0.013698630136986356,2640361.775,-0.054981363983698774,0.1742701912314779,True,0.21666666666666679,0.013698630136986356,0.04225352112676051,0.0,JAG Berhad,JAG,Industrial Services
8.07,-0.004932182490752002,14780279.0,-0.9562333454619937,0.16474998855574582,True,0.024675324675324628,0.02281368821292773,-0.0024721878862793423,-0.01705237515225344,MISC Bhd,MISC,Transportation
3.64,-0.005464480874316946,8031803.0,-0.46337819292973326,0.317898068457142,True,-0.06561679790026242,0.022471910112359605,0.019607843137255054,-0.013550135501354976,Maxis Bhd.,MAXIS,Communications
2.17,-0.0091324200913242,1291576.25,0.6564797826580777,0.4959887136506692,True,0.32608695652173925,0.18579234972677594,0.14210526315789473,0.05853658536585371,Scicom (MSC) Bhd.,SCICOM,Commercial Services
3.08,-0.006451612903225823,13803772.55,-0.3708079374585044,0.1999746286345217,False,0.18587360594795532,-0.03448275862068961,-0.022222222222222143,-0.015974440894568676,KPJ Healthcare Bhd.,KPJ,Health Services
2.7,0.022727272727272707,2925919.85,0.8915061719671566,0.2571853861493429,True,-0.11439114391143912,0.12500000000000022,0.0714285714285714,0.04651162790697683,Kerjaya Prospek Group Berhad,KERJAYA,Industrial Services
4.44,0.009090909090909038,28003163.7,-0.4268907077843546,0.5992813781658828,False,0.24641833810888225,0.020689655172414056,-0.03896103896103886,-0.04516129032258065,PETRONAS Chemicals Group Bhd.,PCHEM,Process Industries
2.22,-0.004484304932735328,5206643.35,0.09162911669159601,0.39823494555337685,False,-0.18772563176895307,-0.013333333333333197,-0.017699115044247593,0.0,Farm Fresh Bhd.,FFB,Consumer Non-Durables
0.36,0.014084507042253502,6484535.625,-0.2509742859559153,0.8376882232047176,True,1.074074074074074,0.2857142857142856,0.07462686567164178,0.028571428571428692,SFP Tech Holdings Bhd,SFPTECH,Industrial Services
2.14,-0.0046511627906975495,10101718.25,0.1589386597157242,0.2125101660785539,False,-0.05531914893617018,-0.03603603603603611,-0.05309734513274322,-0.0092592592592593,Sunway Real Estate Investment Trust,SUNREIT,Finance
0.755,0.006666666666666599,2798379.65,0.49159268103582215,0.10971858340778139,True,0.2999999999999998,0.05594405594405605,0.027210884353741527,0.01342281879194629,Solar District Cooling Group Bhd.,SDCG,Industrial Services
0.245,0.02083333333333326,1498447.35,0.29219257476197746,0.5197758556307935,True,0.11428571428571432,0.2564102564102564,0.02083333333333326,0.042553191489361764,ICT Zone Asia Bhd.,ICTZONE,Technology Services
18.68,0.005382131324004336,1708539.7,0.2573586081722467,0.12451092679630671,True,-0.013698630136986356,-0.002136752136752129,0.00972972972972963,0.001071811361200492,Hong Leong Financial Group Bhd.,HLFG,Finance
0.62,-0.023622047244094557,6300045.85,0.6478693343455284,0.41772446555589976,True,0.1834862385321101,-0.03875968992248069,0.06896551724137945,0.03333333333333344,UEM Sunrise Bhd.,UEMS,Finance
0.18,0.028571428571428692,2902677.1,0.404080406986776,0.40168423296782496,True,0.32000000000000006,0.09090909090909083,0.09090909090909083,0.028571428571428692,Land & General Bhd.,L&G,Finance
1.57,0.0,5569424.8,-0.09035561449172654,0.3033628166524048,False,0.029940119760479167,-0.08720930232558133,-0.012578616352201255,-0.018750000000000044,Dayang Enterprise Holdings Bhd.,DAYANG,Industrial Services
0.605,0.008333333333333304,2308923.3,1.04981389410611,0.49552135900586547,True,-0.00952380952380949,0.16346153846153832,0.17475728155339798,0.09999999999999987,UUE Holdings Berhad,UUE,Industrial Services
17.28,-0.004608294930875445,7905049.4,-0.1352558278026744,0.1589896858823466,False,-0.040659340659340626,-0.010309278350515427,-0.0192962542565267,-0.00575373993095496,Petronas Gas Bhd.,PETGAS,Utilities
0.9,0.0,2768207.725,-0.3994960959161536,0.35489811923282033,False,0.2466666666666668,-0.03743315508021394,0.0,-0.03743315508021394,S P Setia Bhd.,SPSETIA,Finance
3.27,0.028301886792452713,2894372.85,2.5009188933805615,0.2049218482087829,True,0.031847133757961776,0.0092592592592593,0.0414012738853502,0.0414012738853502,Syarikat Takaful Malaysia Keluarga Bhd.,TAKAFUL,Finance
8.14,-0.007317073170731603,22729268.0,0.13651758005914638,0.2527356325812514,True,0.3356766256590509,0.07105263157894748,0.06824146981627299,0.01750000000000007,Sunway Construction Group Bhd.,SUNCON,Industrial Services
2.02,0.03589743589743599,10360260.3,0.9433222477228965,0.3545805722855194,True,-0.18644067796610164,0.05208333333333348,0.06315789473684208,0.03589743589743599,Yinson Holdings Bhd.,YINSON,Producer Manufacturing
22.74,0.018817204301075252,25117487.4,1.0239975103316574,0.17164942933795432,True,-0.01795332136445249,0.039305301645338186,0.019730941704035665,0.024324324324324298,Hong Leong Bank Bhd,HLBANK,Finance
4.55,-0.021505376344086113,5684565.6,-1.5474908154457683,0.24362873034062166,False,-0.008368200836820106,-0.040084388185654074,-0.015151515151515249,-0.03397027600849256,Itmax System Bhd,ITMAX,Commercial Services
1.65,0.012269938650306678,2004182.3,1.0147178293378885,0.48742749331220886,True,0.027210884353741527,0.0927152317880795,0.10738255033557031,0.06451612903225801,Life Water Bhd.,LWSABAH,Consumer Non-Durables
3.25,0.04166666666666674,6874150.85,2.2626995865788637,0.381695048876082,True,0.6785714285714286,0.15248226950354615,0.11683848797250862,0.12068965517241392,MN Holdings Bhd.,MNHLDG,Industrial Services
4.39,0.0022831050228309113,18323072.6,-0.5484916029032605,0.5312669815944794,False,0.4917491749174916,-0.028761061946902644,-0.07188160676532784,-0.028761061946902644,Unisem (M) Bhd.,UNISEM,Electronic Technology
2.17,0.009302325581395321,21696611.1,3.334459315394422,0.3183639854237708,True,-0.024390243902438935,0.08499999999999996,0.11855670103092786,0.13020833333333326,YTL Corp Bhd.,YTL,Utilities
0.95,-0.005235602094240788,2228515.775,0.4205151340203778,0.3411126345758381,True,0.19548872180451138,0.19496855345911945,0.11111111111111116,0.0382513661202184,Powerwell Holdings Bhd.,PWRWELL,Producer Manufacturing
2.36,0.01724137931034475,3680669.8,2.679707759594282,0.3314436008047834,True,0.1470588235294117,0.21025641025641018,0.18592964824120606,0.15121951219512209,Ranhill Utilities Bhd.,RANHILL,Utilities
0.765,-0.006493506493506551,6401983.8,-0.16897984507441072,0.2528078160825662,True,-0.24120603015075381,0.013245033112582849,-0.03164556962025322,0.0,Ramssol Group Bhd.,RAMSSOL,Technology Services
15.0,0.0,1792979.8,-0.7098548091516915,0.10376412296712381,False,0.009345794392523255,-0.007936507936507908,0.0,-0.0066225165562913135,LPI Capital Bhd,LPI,Finance
7.07,0.0028368794326241176,37982840.7,-0.986514546462606,0.21077485036774385,True,0.10247349823321561,0.13301282051282048,0.038179148311306976,-0.009803921568627416,Westports Holdings Bhd.,WPRTS,Transportation
1.75,-0.016853932584269704,2991162.15,0.5659091350755111,0.1888035943110381,False,-0.08780487804878034,-0.06417112299465244,-0.016853932584269704,0.0,Genting Malaysia Bhd.,GENM,Consumer Services
0.8,0.038961038961039085,5714712.775,0.5750218161571402,0.4144490589564882,True,0.21014492753623193,-0.041916167664670545,-0.012345679012345734,0.038961038961039085,XL Holdings Bhd,XL,Process Industries
1.18,-0.008403361344537785,2816989.05,0.30310763456003814,0.24892240082815284,False,-0.05343511450381688,-0.048387096774193616,-0.01666666666666672,0.0,Matrix Concepts Holdings Bhd.,MATRIX,Finance
33.2,-0.02007083825265643,14691253.1,-1.2871494084327104,0.25132747318316484,True,0.16345514950166118,-0.05197030268418046,0.0060606060606061,-0.024676850763807212,United Plantations Bhd.,UTDPLT,Process Industries
2.92,0.006896551724137945,12532472.45,0.06788837844087442,0.5343671597528914,True,0.40625,0.2977777777777777,0.20164609053497928,0.04659498207885293,Dufu Technology Corp. Bhd.,DUFU,Electronic Technology
0.87,0.0,16811255.25,-0.522417246229424,0.0858655545202225,False,-0.022346368715083775,-0.005714285714285672,-0.005714285714285672,-0.005714285714285672,Central Global Bhd,CGB,Consumer Durables
0.12,-0.040000000000000036,2218555.1,0.023767796634048596,0.9489689617953212,True,-0.0625,0.6000000000000001,0.0,0.04347826086956519,Aimflex Bhd.,AIMFLEX,Technology Services
0.575,0.0,1718631.525,1.803123253401823,0.1331252186360369,True,,0.017699115044247815,0.02678571428571419,0.02678571428571419,Semico Capital Bhd.,SEMICO,Distribution Services
0.655,0.0,1371297.075,-0.20015234172039853,0.2881359920256394,True,0.016260162601626105,0.04800000000000004,0.007692307692307665,0.0,MKH Oil Palm (East Kalimantan) Bhd,MKHOP,Process Industries
0.615,0.025000000000000133,1721254.75,0.5810811604730377,0.5113242701042254,True,0.4999999999999998,0.07894736842105265,0.10810810810810789,0.05128205128205132,Qes Group Bhd,QES,Electronic Technology
1.98,0.0,2599776.75,-0.3337015332078859,0.891659182348336,True,0.9306930693069306,0.01538461538461533,0.010204081632652962,0.010204081632652962,MKH Berhad,MKH,Finance
1.43,0.0,3055840.15,-0.4910857522989244,0.34113241921085424,False,-0.22651933701657467,0.021428571428571352,-0.03378378378378377,-0.020547945205479423,Padini Holdings Bhd.,PADINI,Retail Trade
0.24,0.09090909090909083,2429718.475,4.378090601163451,0.725027471571498,True,-0.4035087719298245,0.4117647058823528,0.37142857142857144,0.4117647058823528,Perak Transit Bhd.,PTRANS,Transportation
2.89,-0.0034482758620688614,6035340.3,-0.11777288431039334,0.30619837156377694,True,-0.08074534161490687,-0.023648648648648574,0.01760563380281699,-0.0068728522336769515,CelcomDigi Berhad,CDB,Communications
5.78,0.01581722319859402,21112965.9,-0.19612782560821218,0.6469584683863584,True,0.6737588652482269,0.22457627118644075,0.050909090909091015,0.021201413427561766,Mi Technovation Bhd.,MI,Producer Manufacturing
2.62,0.04800000000000004,10245224.25,2.486562064320029,0.4592816794666194,True,0.02232142857142838,0.14410480349344978,0.17488789237668168,0.13913043478260878,Southern Cable Group Bhd.,SCGBHD,Producer Manufacturing
0.15,0.0,6884617.575,0.7348076962290065,1.485098081342066,True,1.0909090909090908,0.3043478260869563,0.0714285714285714,0.3043478260869563,HHRG BERHAD,HHRG,Non-Energy Minerals
0.405,-0.03571428571428559,2459015.575,0.24684917427212483,0.39279883558393924,False,-0.28695652173913044,-0.012195121951219412,0.03846153846153855,0.0,WCT Holdings Bhd.,WCT,Industrial Services
102.6,0.030120481927710774,10500004.0,0.18594209231713124,0.2633566220237921,True,-0.19895196506550217,0.11862189271696466,0.09545163356822539,0.007858546168958647,Nestle (Malaysia) Bhd.,NESTLE,Consumer Non-Durables
0.635,-0.0078125,1661158.35,-0.8737438900973247,0.21421870755509959,True,-0.049180327868852514,0.09482758620689657,0.05833333333333335,-0.015503875968992276,Malayan Flour Mills Bhd.,MFLOUR,Process Industries
1.02,-0.009708737864077666,2696722.55,0.2897756873229905,0.25178968446943556,False,-0.2635135135135135,-0.06422018348623859,-0.02857142857142858,-0.009708737864077666,Cahya Mata Sarawak Bhd.,CMSB,Non-Energy Minerals
0.325,-0.015151515151515138,3676135.7,0.686274830537776,0.5722810948231315,True,-0.4770642201834864,0.14035087719298267,0.015625,0.031746031746031855,SKP Resources Bhd.,SKPRES,Producer Manufacturing
0.345,-0.014285714285714346,5407762.85,1.9091140577807506,0.4196356274718538,True,-0.13157894736842102,0.045454545454545414,0.1499999999999999,0.11290322580645151,Malaysian Resources Corp. Bhd.,MRCB,Industrial Services
1.8,-0.016393442622950838,19115981.6,-0.3966999264114897,0.5743762884658408,False,0.6168224299065419,0.040462427745664886,0.0,0.0,EG Industries Bhd.,EG,Consumer Durables
