price,ret_1d,adv_rm,zscore_5d,realized_vol,above_ma50,momentum_6m,momentum_1m,momentum_2w,momentum_1w,name,tv_symbol,sector
5.64,0.003558718861209842,2338483.5,0.5122062216789783,0.15971469544355227,False,0.07720588235294112,-0.03754266211604107,-0.019130434782608785,0.0071428571428571175,AEON Credit Service (M) Bhd.,AEONCR,Finance
1.22,0.008264462809917328,9352244.25,-0.48284375882042074,0.4976672609601801,True,0.3128834355828223,0.14018691588785037,0.08928571428571419,0.008264462809917328,Guan Chong Bhd.,GCB,Consumer Non-Durables
0.605,-0.03200000000000003,5291632.9,-0.2254403467060828,1.9077644002558014,False,0.6301369863013699,0.01680672268907557,0.0431034482758621,0.025423728813559254,Oppstar Berhad,OPPSTAR,Electronic Technology
0.45,-0.01098901098901095,1288806.225,0.8090982110807635,0.4729096591658663,False,-0.3402777777777778,-0.05263157894736836,0.034482758620689724,0.022727272727272707,Supercomnet Technologies Bhd.,SCOMNET,Producer Manufacturing
2.29,-0.004347826086956386,35839264.0,0.3326138681096831,0.51583133261434,True,0.1847826086956521,0.050458715596330306,0.050458715596330306,0.050458715596330306,Inari Amertron Berhad,INARI,Electronic Technology
2.9,0.0034602076124565784,1922278.95,-1.045971523026179,0.35440057752056425,True,0.03703703703703698,0.03571428571428581,0.013986013986013957,-0.033333333333333326,Spritzer Bhd.,SPRITZER,Consumer Non-Durables
2.1,0.024390243902439046,7307604.95,0.332916491999709,0.43412058747894505,True,0.17763157894736836,0.17318435754189943,0.050000000000000044,0.01941747572815533,Hibiscus Petroleum Bhd.,HIBISCS,Energy Minerals
0.77,0.0,1281673.55,0.25900361808771705,0.26004761490398814,True,0.0875912408759123,0.033557046979865834,-0.006451612903225823,0.006535947712418277,Leong Hup International Bhd.,LHI,Process Industries
5.8,0.0,1992599.7,-0.06087198683960662,0.24989350587746664,True,0.268765133171913,0.10687022900763354,0.03942652329749108,0.005199306759098743,Ta Ann Holdings Bhd.,TAANN,Non-Energy Minerals
1.07,-0.0092592592592593,1543200.1,-0.12229750463752104,0.24863522534461974,False,0.019230769230769162,0.009433962264151052,0.01904761904761898,-0.0092592592592593,AEON Co. (Malaysia) Bhd.,AEON,Retail Trade
