price,ret_1d,adv_rm,zscore_5d,realized_vol,above_ma50,momentum_6m,momentum_1m,momentum_2w,momentum_1w,name,tv_symbol,sector
5.65,0.007130124777183555,1886195.1,0.7175211802714124,0.15749755105108726,False,-0.015873015873015817,0.012544802867383575,0.005338078291815096,0.008928571428571619,AEON Credit Service (M) Bhd.,AEONCR,Finance
1.2,0.0,8116515.45,-0.4854267683884201,0.5001663138101315,True,0.45333333333333337,0.10091743119266039,0.0,0.008403361344537785,Guan Chong Bhd.,GCB,Consumer Non-Durables
0.535,-0.01834862385321101,3837131.9,-0.5175466821643447,1.8698384834928967,False,1.1475409836065573,-0.18320610687022898,-0.11570247933884292,-0.10084033613445365,Oppstar Berhad,OPPSTAR,Electronic Technology
2.12,-0.009345794392523366,29745143.0,-0.8226366472856442,0.4378611178789017,False,0.3181818181818181,-0.08620689655172398,-0.036363636363636376,-0.049327354260089606,Inari Amertron Berhad,INARI,Electronic Technology
2.94,-0.01342281879194629,1136667.0,0.5725473187592676,0.3571075515131697,True,0.046428571428571486,0.0034129692832762792,0.0034129692832762792,0.03157894736842093,Spritzer Bhd.,SPRITZER,Consumer Non-Durables
1.98,0.020618556701030855,7589274.1,-0.807018052126544,0.4446114457964949,False,0.24161073825503365,0.07027027027027022,-0.024630541871921152,-0.05263157894736836,Hibiscus Petroleum Bhd.,HIBISCS,Energy Minerals
0.77,-0.006451612903225823,1239712.725,0.17460790827871606,0.24986714104206745,True,0.0625,0.006535947712418277,0.0,0.006535947712418277,Leong Hup International Bhd.,LHI,Process Industries
5.8,0.0,2301482.75,-0.0984767784676254,0.2412031871685631,True,0.280193236714976,0.09433962264150941,0.0,0.0034602076124565784,Ta Ann Holdings Bhd.,TAANN,Non-Energy Minerals
1.05,0.0,1538024.75,-0.44358050465064996,0.24604900359188608,False,-0.028037383177570097,0.009615384615384581,-0.009433962264150941,-0.01869158878504673,AEON Co. (Malaysia) Bhd.,AEON,Retail Trade
0.245,-0.03921568627450989,38236370.45,-0.17009784775775108,2.1250631237630166,False,-0.8451327433628318,0.40000000000000013,-0.234375,-0.09259259259259267,Tanco Holdings Bhd.,TANCO,Finance
0.675,0.015037593984962516,5099148.2,-0.6297960465321967,0.5070428205648629,True,0.6309523809523812,-0.014598540145985384,-0.03571428571428559,-0.028776978417266008,CBH Engineering Holding Berhad,CBHB,Utilities
4.47,0.004494382022471877,14363506.1,-0.03174026284837006,0.19839781642462354,True,0.03676470588235303,0.05673758865248213,-0.019736842105263164,0.0022421524663676085,IOI Corporation Berhad,IOICORP,Process Industries
0.875,0.005747126436781658,1180479.25,2.9359555681952285,0.08848428343262141,True,-0.06145251396648055,0.04166666666666674,0.035502958579881616,0.035502958579881616,KIP Real Estate Investment Trust,KIPREIT,Finance
0.53,-0.01851851851851849,6446232.95,-0.025904526131102196,0.4981914632684485,True,-0.047169811320754707,0.04950495049504955,0.06000000000000005,0.00952380952380949,SNS Network Technology Bhd.,SNS,Technology Services
0.915,-0.005434782608695676,1751588.4,0.03217420069771265,0.32408301363156117,True,0.14814814814814814,0.1806451612903226,0.12962962962962954,0.022346368715083775,WTK Holdings Bhd.,WTK,Non-Energy Minerals
1.09,0.028301886792452935,3905500.6,-0.6997746007677729,0.5961090745438807,True,0.7876106194690267,0.07920792079207928,-0.00909090909090915,-0.018018018018018056,Coraza Integrated Technology Bhd,CORAZA,Producer Manufacturing
1.01,0.02020202020202011,5229876.925,0.4255168340285963,0.4430714661572959,False,-0.029126213592232997,0.010000000000000009,0.015075376884422065,0.02020202020202011,Hartalega Holdings Bhd.,HARTA,Producer Manufacturing
19.2,0.004184100418409997,6538809.8,-0.07654715572973343,0.2987545041153725,True,-0.03651115618661249,0.010526315789473717,-0.011328527291452284,-0.007238883143743546,Petronas Dagangan Bhd.,PETDAG,Distribution Services
5.16,0.0019417475728153999,137170717.55,-0.3714771102953215,0.180689665085726,True,0.05088495575221241,0.08631578947368435,-0.007692307692307665,-0.0019342359767891004,Public Bank Bhd,PBBANK,Finance
43.0,-0.025385312783318126,13254807.7,-1.4362124658325912,0.4601423665414578,False,0.5217391304347825,-0.12244897959183676,-0.05035335689045939,-0.06886097877869202,Malaysian Pacific Industries Bhd.,MPI,Electronic Technology
0.355,0.0,2379829.975,-0.8398175096325248,0.16507419129857098,False,0.180327868852459,-0.01388888888888895,-0.0273972602739726,-0.01388888888888895,JAG Berhad,JAG,Industrial Services
8.12,0.008695652173912771,11889456.5,0.7944750338327559,0.18045893818512573,True,0.021080368906455815,0.047741935483870845,0.01754385964912264,0.01754385964912264,MISC Bhd,MISC,Transportation
