price,ret_1d,adv_rm,momentum_6m,momentum_2w,zscore_5d,realized_vol,above_ma50,name,tv_symbol,sector
3.21,0.0031249999999998224,1384825.6,-0.014749262536873253,-0.021341463414634054,-0.24706382037117888,0.19799994487795192,False,Syarikat Takaful Malaysia Keluarga Bhd.,TAKAFUL,Finance
7.52,0.01621621621621605,14302445.05,0.27118644067796605,0.017591339648173276,-0.4921192924012912,0.25100762589339265,True,Sunway Construction Group Bhd.,SUNCON,Industrial Services
1.81,-0.005494505494505475,8040422.8,-0.11504424778761058,-0.07653061224489788,-1.2746122417635504,0.29327167127302717,False,Yinson Holdings Bhd.,YINSON,Producer Manufacturing
22.24,-0.00891265597147961,16567745.9,0.041353383458646586,0.020183486238531945,0.6185069492803495,0.18702573700482,True,Hong Leong Bank Bhd,HLBANK,Finance
4.6,0.0,5680927.65,0.06896551724137945,-0.05737704918032793,-1.172544893552964,0.2542392898794908,False,Itmax System Bhd,ITMAX,Commercial Services
1.51,0.0,1908486.35,-0.013698630136986356,0.05594405594405605,-0.24398343954392643,0.5130032752218365,True,Life Water Bhd.,LWSABAH,Consumer Non-Durables
2.91,0.02464788732394374,8043460.55,0.68944099378882,0.0174825174825175,0.0412799867877,0.39303213233409023,True,MN Holdings Bhd.,MNHLDG,Industrial Services
4.48,0.022831050228310668,15220594.35,0.4506172839506173,-0.006651884700665023,-0.5562805946491323,0.5341920710899855,False,Unisem (M) Bhd.,UNISEM,Electronic Technology
1.99,-0.0050000000000000044,20580348.5,-0.04285714285714304,-0.029268292682926744,-0.15146720775914604,0.3896895144428686,False,YTL Corp Bhd.,YTL,Utilities
0.81,0.012499999999999956,2487270.45,0.4700854700854702,-0.006134969325153228,0.009235940461446577,0.3602607651237766,True,Powerwell Holdings Bhd.,PWRWELL,Producer Manufacturing
1.98,0.010204081632652962,1526563.3,0.2058823529411764,-0.010000000000000009,0.19326142995054532,0.3093362600687904,False,Ranhill Utilities Bhd.,RANHILL,Utilities
0.81,0.031847133757961776,5586789.15,-0.3632075471698113,0.14893617021276606,1.7450778493664578,0.2735831206870854,True,Ramssol Group Bhd.,RAMSSOL,Technology Services
15.0,0.0,1411509.3,0.03835616438356171,0.006711409395973034,-0.8865452670827023,0.12188777039009338,False,LPI Capital Bhd,LPI,Finance
6.53,0.06178861788617884,18231690.2,0.09289617486338786,0.08471760797342198,1.7646714061908044,0.19969912114060437,True,Westports Holdings Bhd.,WPRTS,Transportation
1.82,0.0,2234182.3,-0.09905660377358494,-0.0267379679144385,-0.8392103266190513,0.21653215631664183,False,Genting Malaysia Bhd.,GENM,Consumer Services
0.59,-0.0852713178294574,2346332.425,2.9375,-0.0992366412213741,-0.9138905954514757,0.9479448655171518,True,Hartanah Kenyalang Bhd,HKB,Industrial Services
0.83,0.0,3715428.725,0.2137404580152671,0.024691358024691246,-0.5729351476442865,0.40458147231950137,True,XL Holdings Bhd,XL,Process Industries
1.24,-0.015873015873015928,2690637.4,-0.1287878787878789,0.0,0.12749860287113587,0.24702724730534442,False,Matrix Concepts Holdings Bhd.,MATRIX,Finance
34.6,0.0,14489837.2,0.13245492371705958,0.032835820895522394,-0.4999224582986792,0.2538531946771824,True,United Plantations Bhd.,UTDPLT,Process Industries
2.32,0.03111111111111109,13440474.9,0.35443037974683556,-0.021097046413502185,-0.1189703266796442,0.5323098199303244,True,Dufu Technology Corp. Bhd.,DUFU,Electronic Technology
0.88,0.005714285714285783,14680001.7,-0.005555555555555536,0.005714285714285783,1.0027863823777992,0.07898939141519373,False,Central Global Bhd,CGB,Consumer Durables
1.63,0.018749999999999822,1786250.15,-0.12182741116751272,-0.06857142857142862,0.5048344528129227,0.37355435059791303,False,Lim Seong Hai Capital Bhd,LSH,Distribution Services
0.565,0.008928571428571175,1942512.55,0.26923076923076916,-0.025862068965517238,-0.7471968870383316,0.5002074065458126,True,Qes Group Bhd,QES,Electronic Technology
1.96,-0.005076142131979711,2914834.75,0.8932038834951455,0.00512820512820511,-0.34050280851411086,0.8953673713458735,True,MKH Berhad,MKH,Finance
1.58,-0.0062893081761006275,2254197.6,-0.23936170212765961,0.11267605633802824,3.768620519659525,0.3832519041447996,True,Padini Holdings Bhd.,PADINI,Retail Trade
0.175,0.0,1036230.525,-0.36842105263157887,-0.02777777777777779,0.9369295970984072,0.4914276275911418,False,Perak Transit Bhd.,PTRANS,Transportation
2.98,0.006756756756756799,7508228.0,-0.13622291021671828,0.03832752613240409,0.13200772043522604,0.28049921673724265,True,CelcomDigi Berhad,CDB,Communications
18.8,0.0010649627263046302,4450065.4,0.11600587371512483,0.002132196162046851,-0.5420961466379047,0.5647607075828511,True,Ajinomoto (Malaysia) Bhd.,AJI,Consumer Non-Durables
4.87,0.03837953091684421,10951219.4,0.6909722222222223,0.04956896551724155,-0.10464077946892227,0.5089330295400439,True,Mi Technovation Bhd.,MI,Producer Manufacturing
2.31,0.03587443946188351,9947658.45,0.08133971291866016,-0.04938271604938271,0.005298483981972139,0.4677447610418061,True,Southern Cable Group Bhd.,SCGBHD,Producer Manufacturing
0.16,0.0,4542629.7,0.2142857142857142,0.7777777777777779,1.0138476781816963,1.4364425445434932,True,HHRG BERHAD,HHRG,Non-Energy Minerals
0.4,0.012658227848101333,3151187.65,-0.26724137931034475,-0.05882352941176461,-0.42124064619606977,0.531771317485538,False,WCT Holdings Bhd.,WCT,Industrial Services
92.66,-0.008347602739726012,8199371.4,-0.13858549686660704,0.020934332304979986,0.5200097408733285,0.2873096829066431,False,Nestle (Malaysia) Bhd.,NESTLE,Consumer Non-Durables
1.07,0.028846153846153966,1345319.35,-0.21739130434782594,-0.027272727272727337,-0.33201892140750516,0.30106297631363904,False,Cahya Mata Sarawak Bhd.,CMSB,Non-Energy Minerals
0.3,-0.016393442622950838,4211549.375,-0.5483870967741935,0.05263157894736836,1.2912305922106584,0.5708562157625067,False,SKP Resources Bhd.,SKPRES,Producer Manufacturing
0.31,-0.015873015873015928,4222383.475,-0.10256410256410264,-0.08823529411764708,-0.9085393656912418,0.4733886884887479,False,Malaysian Resources Corp. Bhd.,MRCB,Industrial Services
1.37,0.0,1002548.35,-0.03703703703703709,0.014814814814814836,1.0276644978866338,0.2509252621992982,True,Sports Toto Berhad,SPTOTO,Consumer Services
1.88,0.010752688172043001,14823075.2,0.5826086956521741,0.06818181818181812,0.5614210565630692,0.5359634597530762,True,EG Industries Bhd.,EG,Consumer Durables
1.95,-0.010152284263959421,1381878.9,0.375886524822695,-0.015151515151515138,-0.786394054430782,0.1832968105829785,True,OSK Holdings Bhd.,OSK,Finance
8.37,-0.01875732708089095,35950447.65,0.14189189189189166,0.014545454545454417,-0.41809279179160797,0.11802432689834438,True,RHB Bank Bhd.,RHBBANK,Finance
1.07,0.01904761904761898,1567797.35,0.4583333333333335,0.028846153846153966,0.6462347454530184,0.3568421881996267,True,Bermaz Auto Berhad,BAUTO,Retail Trade
2.4,0.048034934497816595,11388764.95,0.07239819004524883,0.048034934497816595,0.8592354514561453,0.27158655408534377,True,IJM Corporation Berhad,IJM,Industrial Services
2.0,0.0,15378698.15,0.14193548387096766,0.1049723756906078,0.7532715540555085,0.2740101837837246,True,Johor Plantations Group Bhd,JPG,Process Industries
0.665,0.01526717557251911,14879018.325,0.1428571428571428,-0.022058823529411797,0.2565461187898061,0.4571075458447678,False,Top Glove Corporation Bhd.,TOPGLOV,Health Technology
4.79,-0.002083333333333326,27402733.1,0.18203309692671388,0.0020920502092049986,-0.6469451743814861,0.2832606199991497,False,Frontken Corp. Bhd.,FRONTKN,Electronic Technology
2.12,-0.009345794392523366,4049074.65,0.06403940886699533,0.019230769230769162,0.06788130692944402,0.2789594564314885,True,Eco World Development Group Bhd.,ECOWLD,Finance
0.385,0.0,1470522.15,0.026315789473684292,-0.012820512820512886,-0.05297010220257714,0.13301805775468042,False,Kinergy Advancement Bhd,KINERGY,Industrial Services
0.36,0.0,1855055.925,0.06349206349206349,-0.06493506493506496,-1.2753046414600906,0.3506957340662432,True,JCY International Bhd.,JCY,Electronic Technology
2.27,0.0,2487823.8,0.04035874439461873,-0.004385964912280604,0.4643592349879173,0.1476423811616268,False,Affin Bank Bhd.,AFFIN,Finance
8.5,0.0,37238491.25,0.03165298944900363,0.020408163265306145,0.2817780789842887,0.15796666149810423,False,IHH Healthcare Bhd.,IHH,Health Services
2.37,0.025974025974025983,3185005.35,0.7762237762237763,-0.012499999999999956,0.2302757348962096,0.48566984572600397,True,TMK Chemical Bhd,TMK,Process Industries
4.91,0.0,17555395.65,0.28608923884514437,0.04914529914529919,0.5377074175579853,0.4916192230165547,True,Pentamaster Corp. Bhd.,PENTA,Producer Manufacturing
4.54,0.013392857142856984,4347257.35,0.31367292225201093,-0.09199999999999997,-0.6318913974835915,0.5497906874030362,False,SAM Engineering & Equipment (M) Bhd,SAM,Producer Manufacturing
0.17,0.0,1260862.2,0.02941176470588225,-0.02857142857142847,-1.2926465602145416,0.23563259295395392,True,MAG Holdings Berhad,MAG,Process Industries
0.87,0.0235294117647058,2055890.35,0.017857142857142794,0.01754385964912286,1.7292151369361002,0.09992291668560448,True,Ecomate Holdings Bhd.,ECOMATE,Consumer Durables
2.14,0.0,2016171.55,-0.03964757709251099,0.0,0.20472841503820224,0.15287837569398266,False,Bank Islam Malaysia Bhd.,BIMB,Finance
0.35,0.02941176470588225,1330649.05,0.20512820512820507,0.0,-0.3404945146749531,0.8146911490715958,True,VisDynamics Holdings Bhd.,VIS,Electronic Technology
1.43,0.05925925925925912,4667059.15,0.3717948717948718,0.36190476190476173,0.8366491473730449,0.659452775995318,True,Hengyuan Refining Company Bhd,HENGYUAN,Energy Minerals
1.74,0.029585798816567976,5071481.05,1.1910828025477707,0.08074534161490665,1.4885443914996517,0.33407953851452554,True,Mega Fortris Berhad,MEGAFB,Producer Manufacturing
4.24,0.0,40046798.0,0.2660550458715596,-0.02304147465437778,-0.5922300160533205,0.29480992997803296,True,YTL Power International Bhd.,YTLPOWR,Utilities
0.28,-0.01754385964912264,3209143.25,0.96875,-0.06666666666666654,-0.7334348023054258,0.6528365364402825,False,Marine & General Bhd,M&G,Industrial Services
0.97,-0.015228426395939132,2019202.75,-0.009345794392523366,-0.07619047619047625,-0.4193823258658682,0.38157271511673574,False,DRB-Hicom Bhd.,DRBHCOM,Consumer Durables
1.25,0.0,1331552.2,-0.016949152542372947,0.024590163934426146,-0.09355905509372113,0.2962632715604561,True,Tropicana Corp. Bhd.,TROP,Finance
3.06,0.02684563758389258,9262100.75,0.04482758620689653,0.003278688524590345,0.4675532630115156,0.3512058048648306,True,Solarvest Holdings Bhd,SLVEST,Industrial Services
0.665,-0.007462686567164201,2199717.65,-0.055172413793103336,0.0,-0.19776120769375954,0.2760703453019727,False,Cypark Resources Bhd.,CYPARK,Utilities
3.85,-0.002590673575129432,19344306.2,0.6085271317829459,-0.002590673575129432,0.3763656579625562,0.32468768842203166,False,IOI Properties Group Bhd.,IOIPG,Finance
3.7,0.0027100271002711285,13408053.85,0.011299435028248705,0.024930747922437657,0.15401128623381166,0.23221870963231658,True,99 Speed Mart Retail Holdings Bhd,99SMART,Retail Trade
1.12,0.02752293577981657,1497512.85,0.009433962264151052,0.05660377358490565,1.5304013336574163,0.18212286198579722,True,Jaya Tiasa Holdings Bhd.,JTIASA,Non-Energy Minerals
1.82,-0.016216216216216273,4907362.9,0.3532934131736527,0.15923566878980888,0.020627674595008662,0.8838871212908403,True,Critical Holdings Bhd.,CHB,Industrial Services
21.58,-0.0009259259259261077,14707333.1,0.10399159663865554,0.0009276437847867136,-0.6322920896006258,0.23499403533860783,True,Kuala Lumpur Kepong Bhd.,KLK,Process Industries
1.7,0.0,3366896.45,1.0795454545454546,0.024096385542168752,-0.27276972072187095,0.6394891631556642,True,THMY Holdings Berhad,THMY,Industrial Services
0.38,0.0,5577905.05,0.11392405063291133,-0.06172839506172845,-0.6152496241136726,0.36866872820226326,False,Capital A Berhad,CAPITALA,Transportation
2.18,-0.004566210045662045,7880376.45,-0.2712418300653595,-0.0267857142857143,-0.6984544521676729,0.28044827089540963,False,Genting Bhd.,GENTING,Consumer Services
7.78,0.03733333333333344,27605806.7,0.5143953934740881,-0.002564102564102555,-0.3688624949840407,0.43183638097654486,True,Kelington Group Bhd.,KGB,Industrial Services
19.18,-0.0031185031185030354,2322478.5,-0.13321492007104796,-0.013374485596707952,0.3578262587702985,0.16964273616549774,False,Heineken Malaysia Bhd.,HEIM,Consumer Non-Durables
0.255,-0.037735849056603765,1695326.275,-0.048387096774193616,-0.07272727272727275,-3.2412687145891357,0.3526404220583911,False,Bina Puri Holdings Bhd.,BPURI,Industrial Services
5.99,0.0,14842383.05,0.09009009009009006,-0.016420361247947435,-0.11593511401844626,0.17110944173207104,False,TIME dotCom Bhd.,TIMECOM,Technology Services
29.14,-0.002054794520547909,1407461.4,-0.20227272727272738,0.0013745704467353903,0.25846025320296834,0.25368508098216497,True,Fraser & Neave Holdings Bhd.,F&N,Consumer Non-Durables
2.09,-0.004761904761904856,17385360.2,0.1842105263157896,-0.045662100456621,-0.500089236765274,0.2794801352181755,False,Sime Darby Bhd.,SIME,Distribution Services
1.83,0.011049723756906049,1415950.25,0.1283783783783783,0.033898305084745894,0.41679837403162046,0.38540364290488816,True,Pekat Group Bhd,PEKAT,Producer Manufacturing
1.73,0.0,4605764.4,-0.017241379310344862,-0.005747126436781658,-0.5538279371258906,0.25367056511865993,False,Pavilion Real Estate Investment Trust,PAVREIT,Finance
0.445,0.011363636363636465,18696864.075,0.7222222222222221,0.02298850574712641,0.13518551931330197,0.7295377952348319,True,Dagang NeXchange Berhad,DNEX,Technology Services
6.73,-0.002962962962962945,66930950.2,0.13584905660377355,0.09430894308943083,1.1676339706975747,0.1828670007177046,True,SD Guthrie Bhd,SDG,Process Industries
0.335,-0.014705882352941235,1929628.75,-0.5625,0.046875,-0.2009148156900731,0.46439915861302794,False,D&O Green Technologies Bhd.,D&O,Electronic Technology
0.225,-0.021739130434782594,6960206.375,-0.5894736842105263,0.125,0.7758477243166529,0.5556153195020189,True,V.S. Industry Bhd.,VS,Producer Manufacturing
1.52,0.05555555555555558,1954738.15,-0.02941176470588236,0.10948905109489049,2.2333042145040434,0.3308294161615202,True,Samaiden Group Bhd,SAMAIDEN,Electronic Technology
1.51,0.01342281879194629,14394209.75,0.0,0.05594405594405605,-0.36158521876777644,0.269495684280906,True,Eco-Shop Marketing Berhad,ECOSHOP,Retail Trade
0.5,0.020408163265306145,2756980.15,-0.15384615384615385,-0.05660377358490576,0.024745723276246284,0.5641744334261186,True,Notion VTec Bhd.,NOTION,Producer Manufacturing
0.955,-0.010362694300518172,2402670.575,-0.025000000000000022,0.010582010582010692,-0.2730010316873211,0.23372614887761048,False,Mah Sing Group Bhd.,MAHSING,Finance
4.71,0.0021276595744681437,1439453.65,-0.06476190476190469,-0.014644351464435212,-0.34468240559894486,0.1395275419798887,False,MBM Resources Bhd.,MBMR,Retail Trade
0.19,0.027027027027026973,1084661.4,0.032258064516129004,0.22580645161290325,1.356113203166346,0.5528932151428235,True,P.A. Resources Berhad,PA,Non-Energy Minerals
11.02,-0.016071428571428514,92616099.6,0.10693069306930703,0.007312614259597838,0.35077206751161044,0.17189194799954646,True,Malayan Banking Bhd.,MAYBANK,Finance
5.7,0.0,1157913.7,0.05454545454545445,0.06343283582089554,1.8525626210167487,0.18411184345987036,True,Genting Plantations Bhd.,GENP,Process Industries
5.26,0.005736137667303964,12599250.3,-0.04308797127468589,0.031372549019607954,0.4521196670211657,0.19131259293597044,False,Sunway Bhd.,SUNWAY,Industrial Services
0.515,0.05102040816326525,10029090.225,4.8125,0.030000000000000027,-0.5601613425316967,1.6322441953761726,True,GIIB Holdings Bhd,GIIB,Producer Manufacturing
0.585,0.044642857142856984,1949188.9,0.6515151515151516,0.07339449541284382,-0.7629331269025619,0.5068659612083711,True,HE Group Bhd,HEGROUP,Producer Manufacturing
2.48,0.0,1316279.35,0.09223300970873782,0.09734513274336298,1.228980760969285,0.23348246707817688,True,Hap Seng Plantations Holdings Bhd.,HSPLANT,Process Industries
1.33,0.0,2985625.2,-0.11728395061728403,-0.02919708029197088,0.5220916330178859,0.12428385529811355,False,Pecca Group Bhd.,PECCA,Process Industries
0.51,-0.019230769230769273,1342968.875,1.0416666666666665,-0.037735849056603765,-1.2451304361365398,0.2907348404520982,True,Mikro MSC Bhd.,MIKROMB,Electronic Technology
4.21,-0.009411764705882342,44414366.3,-0.1381322957198443,0.014457831325301207,0.46540946517611076,0.27271997186507213,False,Gamuda Bhd.,GAMUDA,Industrial Services
7.69,-0.0038860103626942033,20098224.8,-0.038461538461538436,0.021248339973439556,0.408249135411423,0.22751589825607035,True,Telekom Malaysia Bhd.,TM,Communications
1.34,-0.007407407407407418,11902764.4,-0.013513513513513487,-0.02898550724637672,-0.6537006228279526,0.30038907565518785,False,Sime Darby Property Bhd.,SIMEPROP,Finance
0.725,0.0,2113534.075,0.4455445544554455,-0.046052631578947456,-1.0993161892963546,0.5422736392689615,True,MClean Technologies Bhd.,MCLEAN,Commercial Services
