price,ret_1d,adv_rm,zscore_5d,realized_vol,above_ma50,momentum_6m,momentum_1m,momentum_2w,momentum_1w,name,tv_symbol,sector
5.62,0.0,2362305.9,-0.09200534867274816,0.16106549763524547,False,0.0888888888888888,-0.04421768707482987,0.0035714285714285587,-0.005309734513274433,AEON Credit Service (M) Bhd.,AEONCR,Finance
1.21,0.025423728813559254,9387420.7,0.23404045906997925,0.4983420589958247,True,0.27272727272727293,0.15238095238095228,0.06140350877192979,0.0431034482758621,Guan Chong Bhd.,GCB,Consumer Non-Durables
0.625,0.016260162601626105,5237161.675,-0.13416645079189754,1.9080510529520558,False,0.6799999999999999,-0.007936507936507908,0.05932203389830515,0.05932203389830515,Oppstar Berhad,OPPSTAR,Electronic Technology
0.455,0.022471910112359605,1470558.075,1.0133819870575917,0.47278659322218874,False,-0.3006993006993006,-0.08999999999999997,0.022471910112359605,0.03409090909090917,Supercomnet Technologies Bhd.,SCOMNET,Producer Manufacturing
2.3,0.00877192982456143,36100720.65,0.41675868952158884,0.5173290934975906,True,0.22702702702702693,0.013215859030836885,0.05022831050228316,0.05990783410138234,Inari Amertron Berhad,INARI,Electronic Technology
2.89,-0.0034482758620688614,1811446.75,-0.2073952507366346,0.35488396653866816,True,0.018181818181818077,0.03214285714285725,-0.0068728522336769515,0.0,Spritzer Bhd.,SPRITZER,Consumer Non-Durables
2.05,-0.009661835748792313,6967457.4,-0.07655882886157031,0.4354270536260205,True,0.1895424836601307,0.12637362637362615,0.08465608465608465,-0.004854368932038944,Hibiscus Petroleum Bhd.,HIBISCS,Energy Minerals
0.77,0.006535947712418277,1282051.325,-0.32172281909059447,0.2633151929175699,True,0.0869565217391306,0.026666666666666616,-0.006451612903225823,-0.006451612903225823,Leong Hup International Bhd.,LHI,Process Industries
5.8,0.0034602076124565784,1995342.05,-0.2748329059115371,0.25144536826436104,True,0.2663438256658597,0.10898661567877621,0.06227106227106227,-0.0017211703958691649,Ta Ann Holdings Bhd.,TAANN,Non-Energy Minerals
1.08,0.0,1544369.1,0.8938336486381961,0.2489110729129668,False,0.05882352941176472,0.0,0.028571428571428692,0.018867924528301883,AEON Co. (Malaysia) Bhd.,AEON,Retail Trade
0.315,0.032786885245901676,35776955.55,0.05317874661814415,2.109018726838074,False,-0.8879310344827586,1.423076923076923,0.75,0.0,Tanco Holdings Bhd.,TANCO,Finance
0.715,0.021428571428571352,5542683.6,-0.4533477972989391,0.5171127620049002,True,0.4606741573033708,0.09999999999999987,0.02877697841726623,-0.01379310344827589,CBH Engineering Holding Berhad,CBHB,Utilities
4.5,-0.019607843137254832,12237403.35,-0.28755201336642827,0.19227651898337447,True,0.05432098765432092,0.05386416861826704,0.034482758620689724,-0.0022172949002217113,IOI Corporation Berhad,IOICORP,Process Industries
0.84,0.0,1011447.125,0.29365284117873885,0.07069403769650606,False,-0.04519774011299438,-0.00591715976331364,0.0,0.0,KIP Real Estate Investment Trust,KIPREIT,Finance
0.515,0.030000000000000027,3489483.325,0.9236813515668864,0.46490426938030366,True,-0.11206896551724133,0.0,0.07291666666666674,0.061855670103092786,SNS Network Technology Bhd.,SNS,Technology Services
1.09,0.01869158878504673,3641797.35,0.9269053965504099,0.6016071229878122,True,0.8727272727272726,0.058252427184465994,0.13541666666666674,0.09000000000000008,Coraza Integrated Technology Bhd,CORAZA,Producer Manufacturing
0.23,0.0,1861859.45,0.4629903575172875,0.6587920009775522,False,-0.27142857142857135,-0.0980392156862745,0.0,0.022222222222222143,Malton Bhd.,MALTON,Finance
1.0,-0.019607843137254943,5833096.925,0.3495380120882839,0.4575623615701462,False,0.03883495145631066,-0.06542056074766356,0.005025125628140614,0.015228426395939021,Hartalega Holdings Bhd.,HARTA,Producer Manufacturing
19.5,-0.008138351983723258,8596458.1,0.2726619649217888,0.3072884661258572,True,-0.023933402705514917,0.03944562899786774,-0.005102040816326592,0.009316770186335477,Petronas Dagangan Bhd.,PETDAG,Distribution Services
5.2,0.0019267822736031004,118393955.05,0.8294287448708946,0.18895449817164706,True,0.12128146453089261,0.061224489795918435,0.05906313645621175,0.02970297029702973,Public Bank Bhd,PBBANK,Finance
46.84,0.048813255709807546,16027437.3,0.5139782600896393,0.45337458855798296,True,0.5177128651336236,-0.040950040950040956,0.021815008726003393,0.05495495495495506,Malaysian Pacific Industries Bhd.,MPI,Electronic Technology
0.36,0.0,2585106.7,-0.9726161650486981,0.1747077840510493,False,0.19999999999999996,0.0,-0.013698630136986356,-0.013698630136986356,JAG Berhad,JAG,Industrial Services
